SNR,window,p,MD_x,FAR_x
0.0,50,0.5,0.0006,0.3035
0.0,50,0.5,0.001,0.3264
0.0,50,0.5,0.0016,0.2541
0.0,50,0.5,0.0008,0.4155
0.0,50,0.5,0.0023,0.3595
0.0,50,0.5,0.001,0.3298
0.0,50,0.5,0.0011,0.3525
0.0,50,0.5,0.0006,0.314
0.0,50,0.5,0.0017,0.3206
0.0,50,0.5,0.0008,0.3149
0.0,50,0.5,0.0007,0.3239
0.0,50,0.5,0.0017,0.3763
0.0,50,0.5,0.001,0.3339
0.0,50,0.5,0.0009,0.2913
0.0,50,0.5,0.001,0.3915
0.0,50,0.5,0.001,0.3256
0.0,50,0.5,0.0008,0.2815
0.0,50,0.5,0.0008,0.3367
0.0,50,0.5,0.0011,0.3604
0.0,50,0.5,0.0007,0.3729
0.0,50,0.5,0.0013,0.3317
0.0,50,0.5,0.0015,0.3056
0.0,50,0.5,0.0007,0.3659
0.0,50,0.5,0.0013,0.37
0.0,50,0.5,0.0007,0.3043
0.0,50,0.5,0.0014,0.2784
0.0,50,0.5,0.0003,0.3817
0.0,50,0.5,0.0015,0.3527
0.0,50,0.5,0.0007,0.3184
0.0,50,0.5,0.0006,0.2849
0.0,50,0.5,0.0009,0.3064
0.0,50,0.5,0.0013,0.337
0.0,50,0.5,0.0012,0.2427
0.0,50,0.5,0.0015,0.31
0.0,50,0.5,0.001,0.3074
0.0,50,0.5,0.0012,0.2926
0.0,50,0.5,0.0006,0.3463
0.0,50,0.5,0.0011,0.3626
0.0,50,0.5,0.0012,0.3375
0.0,50,0.5,0.0007,0.3722
0.0,50,0.5,0.0012,0.3481
0.0,50,0.5,0.0012,0.2531
0.0,50,0.5,0.0012,0.3135
0.0,50,0.5,0.0008,0.3617
0.0,50,0.5,0.0012,0.365
0.0,50,0.5,0.0006,0.3988
0.0,50,0.5,0.0015,0.296
0.0,50,0.5,0.0007,0.2926
0.0,50,0.5,0.0013,0.322
0.0,50,0.5,0.0009,0.3573
0.0,50,0.5,0.0006,0.355
0.0,50,0.5,0.0007,0.3587
0.0,50,0.5,0.0016,0.2931
0.0,50,0.5,0.0009,0.2693
0.0,50,0.5,0.0018,0.2955
0.0,50,0.5,0.0016,0.3371
0.0,50,0.5,0.0017,0.3543
0.0,50,0.5,0.0007,0.3466
0.0,50,0.5,0.0016,0.3056
0.0,50,0.5,0.0019,0.2474
0.0,50,0.5,0.0011,0.3624
0.0,50,0.5,0.0008,0.353
0.0,50,0.5,0.0011,0.3242
0.0,50,0.5,0.0008,0.3247
0.0,50,0.5,0.0008,0.3224
0.0,50,0.5,0.0008,0.3325
0.0,50,0.5,0.001,0.2933
0.0,50,0.5,0.0015,0.3152
0.0,50,0.5,0.0014,0.2587
0.0,50,0.5,0.0012,0.2851
0.0,50,0.5,0.0013,0.3377
0.0,50,0.5,0.0008,0.3049
0.0,50,0.5,0.0012,0.4087
0.0,50,0.5,0.0014,0.3154
0.0,50,0.5,0.0013,0.3419
0.0,50,0.5,0.0014,0.3899
0.0,50,0.5,0.001,0.3477
0.0,50,0.5,0.0013,0.346
0.0,50,0.5,0.0011,0.3527
0.0,50,0.5,0.0008,0.3242
